ID;Income;Kidhome;Teenhome;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Age;NumOffSprings;MntTotal;NumTotal;TotalAcceptedCmp;Prop_AcceptedCmp;PropWines;PropFruits;PropMeatProducts;PropFishProducts;PropSweetProducts;PropGoldProds;RFM_Score;Marital_Status;Education;CLASSE_REAL;CLASSE_PREVISTA;ACERTO_PREVISAO
43824.0;1.0;1.0;18.0;96.0;1.0;42.0;12.0;3.0;32.0;4.0;3.0;1.0;4.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;49.0;2.0;186.0;12.0;0.0;0.0;8.0;0.08333333333333337;3.5;1.0;0.25;2.6666666666666665;18.75;-2.168404344971009e-19;Married;Basic;0;0;True
35704.0;1.0;1.0;54.0;30.0;9.0;12.0;2.0000000000000018;11.0;30.0;3.0;2.0;0.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;68.0;2.0;94.0;9.0;0.0;0.0;3.333333333333334;1.0;1.333333333333333;0.2222222222222221;1.2222222222222223;3.3333333333333335;12.75;-2.168404344971009e-19;Married;Basic;0;0;True
27922.0;1.0;0.0;80.0;11.0;0.0;13.0;2.0000000000000018;4.0;11.0;1.0;2.0;0.0;3.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;41.0;1.0;41.0;6.0;0.0;0.0;1.833333333333334;0.0;2.1666666666666665;0.33333333333333326;0.6666666666666666;1.8333333333333333;4.25;-2.168404344971009e-19;Together;Basic;0;0;True
50388.0;0.0;1.0;3.0;292.0;6.0;37.0;0.0;3.0;34.0;4.0;6.0;1.0;6.0;7.0;0.0;1.0;0.0;1.0;0.0;0.0;63.0;1.0;372.0;17.0;2.0;0.4;17.176470588235293;0.35294117647058826;2.176470588235294;0.0;0.17647058823529416;2.0;20.0;-2.168404344971009e-19;Single;Basic;1;1;True
54111.0;0.0;1.0;97.0;267.0;6.0;54.0;8.0;3.0;50.0;2.0;5.0;2.0;6.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;55.0;1.0;388.0;15.0;0.0;0.0;17.8;0.4;3.6;0.5333333333333333;0.20000000000000007;3.3333333333333335;8.0;-2.168404344971009e-19;Widow;Basic;0;0;True
55158.0;1.0;1.0;72.0;293.0;0.0;87.0;4.0;11.0;23.0;4.0;7.0;2.0;5.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;2.0;418.0;18.0;0.0;0.0;16.27777777777778;0.0;4.833333333333333;0.2222222222222221;0.6111111111111112;1.2777777777777777;11.0;-2.168404344971009e-19;Married;Basic;1;0;False
35641.0;1.0;0.0;11.0;63.0;3.0;67.0;8.0;9.0;28.0;2.0;3.0;1.0;4.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;48.0;1.0;178.0;10.0;0.0;0.0;6.300000000000001;0.30000000000000004;6.7;0.8;0.9;2.8;18.75;-2.168404344971009e-19;Married;Basic;1;1;True
81549.21106007186;0.0;0.11726972673054686;55.65460546538907;180.9509871050058;22.53092109307781;427.4713831765737;29.413651366347267;20.302796285197424;24.759045900958203;1.0;5.117269726730547;4.0;7.234539453461094;2.586348633652734;0.0;1.0;1.0;0.8827302732694531;0.0;0.0;63.11726972673055;0.11726972673054692;705.4287849271601;17.35180918019164;2.882730273269453;0.5765460546538906;10.480687916558344;1.3056883748173975;24.847372410694938;1.7043464641828068;1.1942821344233778;1.417094615211417;14.881126611874278;-2.168404344971009e-19;Married;Basic;1;1;True
60200.0;0.0;1.0;3.0;502.0;19.0;132.0;0.0;6.0;26.0;6.0;6.0;2.0;11.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;72.0;1.0;685.0;25.0;0.0;0.0;20.08;0.76;5.28;0.0;0.24;1.04;21.25;-2.168404344971009e-19;Single;Basic;0;0;True
46681.0;0.0;2.0;52.0;269.0;15.0;69.0;15.0;19.0;38.0;2.0;4.0;6.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;72.0;2.0;425.0;16.0;0.0;0.0;16.8125;0.9375;4.3125;0.9375;1.1875;2.375;14.0;-2.168404344971009e-19;Together;Basic;0;0;True
